10.png,667,1600,0.416875
100.png,873,1600,0.545625
105.png,903,1600,0.564375
110.png,779,1600,0.486875
115.png,736,1600,0.46
120.png,679,1600,0.424375
125.png,689,1600,0.430625
130.png,716,1600,0.4475
135.png,733,1600,0.458125
140.png,794,1600,0.49625
145.png,812,1600,0.5075
15.png,819,1600,0.511875
150.png,716,1600,0.4475
155.png,793,1600,0.495625
160.png,727,1600,0.454375
165.png,859,1600,0.536875
170.png,832,1600,0.52
175.png,835,1600,0.521875
180.png,774,1600,0.48375
185.png,781,1600,0.488125
190.png,883,1600,0.551875
195.png,815,1600,0.509375
20.png,745,1600,0.465625
200.png,665,1600,0.415625
205.png,715,1600,0.446875
210.png,815,1600,0.509375
215.png,813,1600,0.508125
220.png,804,1600,0.5025
225.png,672,1600,0.42
230.png,856,1600,0.535
235.png,799,1600,0.499375
240.png,737,1600,0.460625
245.png,772,1600,0.4825
25.png,752,1600,0.47
250.png,767,1600,0.479375
255.png,673,1600,0.420625
260.png,762,1600,0.47625
265.png,802,1600,0.50125
270.png,860,1600,0.5375
275.png,843,1600,0.526875
280.png,767,1600,0.479375
285.png,857,1600,0.535625
290.png,793,1600,0.495625
295.png,778,1600,0.48625
30.png,911,1600,0.569375
300.png,816,1600,0.51
305.png,933,1600,0.583125
310.png,688,1600,0.43
315.png,862,1600,0.53875
320.png,841,1600,0.525625
325.png,969,1600,0.605625
330.png,764,1600,0.4775
335.png,832,1600,0.52
340.png,808,1600,0.505
345.png,868,1600,0.5425
35.png,802,1600,0.50125
350.png,836,1600,0.5225
355.png,690,1600,0.43125
360.png,851,1600,0.531875
365.png,849,1600,0.530625
370.png,825,1600,0.515625
375.png,847,1600,0.529375
380.png,867,1600,0.541875
385.png,846,1600,0.52875
390.png,864,1600,0.54
395.png,787,1600,0.491875
40.png,911,1600,0.569375
400.png,749,1600,0.468125
45.png,754,1600,0.47125
5.png,623,1600,0.389375
50.png,766,1600,0.47875
55.png,879,1600,0.549375
60.png,741,1600,0.463125
65.png,850,1600,0.53125
70.png,797,1600,0.498125
75.png,1016,1600,0.635
80.png,714,1600,0.44625
85.png,938,1600,0.58625
90.png,744,1600,0.465
95.png,721,1600,0.450625
